BreachedEntity;State;PublishedDate;BreachType;BreachCategory;RecorsReported;Source;URL
Green Roads of Florida, LLC;FL;11/15/2019;Electronic;Business;41,422;oag.ca.gov;#https://oag.ca.gov/system/files/259198_01_IDExperts_Green%20Roads%20StaticProof_General_1.pdf#
Wescom Credit Union (third-party service provider Geezeo);CA;11/19/2019;Electronic;Banking/Credit/Financial;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Wescom%20Central%20Credit%20Union%20-%20CA%20Notice%20of%20Data%20Even
LifeMark Securities Corp.;NY;11/19/2019;Electronic;Banking/Credit/Financial;10,879;oag.ca.gov;#https://oag.ca.gov/system/files/CA%20AG%20Notification%20%28notification%29.pdf#
Cadence Aerospace;CA;11/20/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/CA%20Notice%20Letter_1.pdf#
KPRS Construction Services, Inc.;CA;11/20/2019;Electronic;Business;825;oag.ca.gov;#https://oag.ca.gov/system/files/KPRS%20--%20Consumer%20notification%20letter%20%28California%20version%29_P
Epstein Schneider, PLC;AZ;10/30/2019;Electronic;Banking/Credit/Financial;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/30/epstein-schneider-notice-of-data-breach-to-consumers/#
Aegis Medical Group;FL;11/8/2019;Electronic;Medical/Healthcare;9,800;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/11/08/aegis-medical-group-notice-of-data-breach-to-consumers/#
Drake Software (reported on 11/18/2019);NC;11/18/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/11/18/drake-software-notice-of-data-breach-to-consumers/#
Woodman & Eaton, P.C.;MA;11/22/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/11/22/woodman-and-eaton-notice-of-data-breach-to-consumers/#
California Department of Motor Vehicles (DMV);CA;11/5/2019;Electronic;Government/Military;3,200;assets.documentcloud.org;#https://assets.documentcloud.org/documents/6540706/Cover-Letter-and-Notice-of-Breach-Merged.pdf#
Macy's - macys.com (reported on 11/14/2019);OH;11/14/2019;Electronic;Business;135,152;documentcloud.org;#https://www.documentcloud.org/documents/6552530-macy-s-notice-of-data-breach.html#
Fairfax County Police Department;VA;11/16/2019;Electronic;Government/Military;1,700;washingtonpost.com;#https://www.washingtonpost.com/local/public-safety/data-breach-may-impact-more-than-500-fairfax-county-police-em
Georgia Tech (reported on 11/7/2019);GA;11/7/2019;Electronic;Education;1,100;news.gatech.edu;#https://news.gatech.edu/2019/11/07/tech-responds-student-data-disclosure#
Krystal;GA;10/24/2019;Electronic;Business;Unknown;krystal.com;#https://krystal.com/security/#
T-Mobile - prepaid service;WA;11/22/2019;Electronic;Business;Unknown;t-mobile.com;#https://www.t-mobile.com/customers/6305378822#
Church's Chicken - company-operated restaurants (payment processing systems servicer);GA;11/21/2019;Electronic;Business;Unknown;churchs.com;#https://www.churchs.com/security/#
Choice Cancer Care Treatment Center;TX;11/15/2019;Electronic;Medical/Healthcare;14,673;choicecancercare.com;#https://choicecancercare.com/choice-cancer-treatment-center-privacy-incident-notice/#
Sunshine Behavioral Health, LLC;CA;11/14/2019;Electronic;Medical/Healthcare;3,500;databreaches.net;#https://www.databreaches.net/exclusive-more-than-90000-patient-billing-files-from-an-alcohol-and-drug-addiction-trea
Select Health Network;IN;11/1/2019;Electronic;Medical/Healthcare;3,582;selecthealthnetwork.com;#https://www.selecthealthnetwork.com/sites/default/files/Select%20Health%20Website%20Notice%20Updated%2011.12.
Solara Medical Supplies, LLC;CA;11/13/2019;Electronic;Medical/Healthcare;114,007;solara.com;#https://www.solara.com/dataincident#
Starling Physicians;CT;11/12/2019;Electronic;Medical/Healthcare;977;starlingphysicians.com;#https://www.starlingphysicians.com/databreach/#
Delta Dental of Arizona;AZ;11/8/2019;Electronic;Medical/Healthcare;12,886;deltadentalaz.com;#https://www.deltadentalaz.com/documents/DDAZ_DataPrivacyIncident0719_WebsiteNotice.pdf#
Main Street Clinical Associates, PA NC 11/8/2019 Electronic Medical/Healthcare 3,031;PA;11/8/2019;Electronic;Medical/Healthcare;3,031;mainstreetclinical.com;#http://www.mainstreetclinical.com/files/MSCA%20-%20Website%20Notice.pdf#
American Express Travel Related Services Company, Inc. and/or its Affiliates (reported on 10/4/2019);NY;10/4/2019;Electronic;Banking/Credit/Financial;1,083;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Dominion Energy Credit Union;VA;10/28/2019;Electronic;Banking/Credit/Financial;2,662;maine.gov;-
BLA Partners, LLC dba Aspenti Health;VT;10/7/2019;Electronic;Medical/Healthcare;501;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
The McKeogh Company - AMETEK, Inc. employees;PA;10/9/2019;Electronic;Business;6,161;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-22.pdf#
St. Lucie West District Services;FL;10/23/2019;Electronic;Government/Military;1,069;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Delta Dental of Illinois (reported on 10/25/2019);IL;10/25/2019;Electronic;Medical/Healthcare;24,425;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Liberty Healthcare Corporation;PA;10/29/2019;Electronic;Medical/Healthcare;907;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Amerman, Ginder & Co.;PA;10/30/2019;Electronic;Business;580;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Autoclerk;CA;10/21/2019;Electronic;Business;Unknown;zdnet.com;#https://www.zdnet.com/article/autoclerk-database-leaked-customer-government-and-military-personal-records/#
Betty Jean Kerr People's Health Centers;MO;10/25/2019;Electronic;Medical/Healthcare;152,000;phcenters.org;#http://phcenters.org/wp-content/uploads/sites/3/2019/10/Notice.pdf#
The Kroger Co., for itself and its affiliates and subsidiaries #1;OH;10/25/2019;Paper Data;Medical/Healthcare;2,752;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Texas Health Presbyterian Hospital Allen (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;2,993;texashealth.org;#https://www.texashealth.org/allen/about-texas-health-allen/a-message-to-our-patients#
Texas Health Harris Methodist Hospital Fort Worth (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;14,881;texashealth.org;#https://www.texashealth.org/fortworth/about-texas-health-fort-worth/a-message-to-our-patients#
Texas Health Harris Methodist Hospital Kaufman (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;2,157;texashealth.org;#https://www.texashealth.org/kaufman/about-texas-health-kaufman/a-message-to-our-patients#
Texas Health Arlington Memorial (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;6,187;texashealth.org;#https://www.texashealth.org/arlington/about-texas-health-arlington-memorial/a-message-to-our-patients#
Texas Health Harris Methodist Southlake (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;525;texashealthsouthlake.com;#https://www.texashealthsouthlake.com/message.php#
Texas Health Harris Methodist Hospital Stephenville (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;1,348;texashealth.org;#https://www.texashealth.org/stephenville/about-texas-health-stephenville/a-message-to-our-patients#
Texas Health Presbyterian Hospital Rockwall (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;4,789;texashealthrockwell.com;#https://www.texashealthrockwall.com/news/billing-discrepancy/#
Texas Health Harris Methodist Hospital Southwest Fort Worth (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;7,478;texashealth.org;#https://www.texashealth.org/southwestfw/about-texas-health-southwest-fort-worth/a-message-to-our-patients#
Texas Health Harris Methodist Hospital Cleburne (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;2,737;texashealth.org;#https://www.texashealth.org/cleburne/about-texas-health-cleburne/a-message-to-our-patients#
Texas Health Harris Methodist Hospital Hurst-Euless-Bedford (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;4,804;texashealth.org;#https://www.texashealth.org/heb/about-texas-health-heb/a-message-to-our-patients#
Abdul Memon, MD PLLC AZ 10/11/2019 Electronic Medical/Healthcare 1,000;MD;10/11/2019;Electronic;Medical/Healthcare;1,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Southern New Mexico Neurosurgery LLC;NM;10/14/2019;Electronic;Medical/Healthcare;11,754;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Click2Mail;VA;10/8/2019;Electronic;Business;Unknown;databreaches.net;#https://www.databreaches.net/click2mail-issues-statement-to-customers-acknowledges-hack/#
Philadelphia Department of Public Health (PDPH);PA;10/14/2019;Electronic;Medical/Healthcare;23,000;hipaajournal.com;#https://www.hipaajournal.com/philadelphia-department-of-public-health-data-breach-exposed-hepatitis-patients-data/#
Geisinger Health Plan (business associate Magellan NIA);PA;10/24/2019;Electronic;Medical/Healthcare;Unknown;hipaajournal.com;#https://www.hipaajournal.com/geisinger-health-plan-notifies-members-about-business-associate-phishing-attack/#
Ferro Corporation;OH;10/23/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/23/ferro-corporation-notice-of-data-breach-to-consumers/#
Prisma Health - Midlands - Palmetto Health;SC;10/28/2019;Electronic;Medical/Healthcare;19,060;palmettohealth.org;#https://www.palmettohealth.org/patients-guests/news/cybersecurity-incident-palmetto-health-website#
Veritas Genetics;MA;11/6/2019;Electronic;Medical/Healthcare;Unknown;bloomberg.com;#https://www.bloomberg.com/news/articles/2019-11-06/breach-at-dna-test-firm-veritas-exposed-customer-information#
Adobe Creative Cloud;CA;10/25/2019;Electronic;Business;Unknown;comparitech.com;#https://www.comparitech.com/blog/information-security/7-million-adobe-creative-cloud-accounts-exposed-to-the-publi
Trend Micro;TX;11/5/2019;Electronic;Business;Unknown;blog.trendmicro.com;#https://blog.trendmicro.com/trend-micro-discloses-insider-threat-impacting-some-of-its-consumer-customers/#
South Florida PBS;FL;11/1/2019;Electronic;Business;528;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/11/01/south-florida-pbs-notice-of-data-breach-to-consumers/#
Walmart Inc. (reported on 10/17/2019);AR;10/17/2019;Electronic;Medical/Healthcare;4,211;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
The Affiliated Sante Group;MD;10/20/2019;Electronic;Medical/Healthcare;679;thesantegroup.org;#https://www.thesantegroup.org/#
Greater Cincinnati Pathologists, Inc.;OH;10/23/2019;Electronic;Medical/Healthcare;7,725;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Juniata College;PA;11/1/2019;Electronic;Education;1,170;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Seattle Cancer Care Alliance;WA;10/16/2019;Electronic;Medical/Healthcare;Unknown;seattlecca.org;#https://www.seattlecca.org/#
LaBorde Therapy Center LLC;LA;10/16/2019;Electronic;Medical/Healthcare;7,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Leafly;WA;10/10/2019;Electronic;Business;Unknown;iowaattorneygeneral.gov;#https://www.iowaattorneygeneral.gov/media/cms/93019_Leafly_Holdings_Inc_A9CFFA3A54D6A.pdf#
Washington University School of Medicine Department of Ophthalmology and Visual Sciences;WA;11/1/2019;Electronic;Medical/Healthcare;3,237;medicine.wustl.edu;#https://medicine.wustl.edu/news/announcements/patient-notice-privacy-breach-11-2019/#
UnitedHealthcare (third-party vendor Equian, LLC);MN;10/16/2019;Electronic;Medical/Healthcare;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-40.pdf#
Utah Valley Eye Center;UT;10/31/2019;Electronic;Medical/Healthcare;20,418;hipaajournal.com;#https://www.hipaajournal.com/utah-valley-eye-center-hacking-incident-leads-to-phishing-attack-on-patients/#
Aquiline Capital Partners LLC;NY;10/29/2019;Electronic;Banking/Credit/Financial;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-45.pdf#
Artesia General Hospital (reported on 10/3/2019);NM;10/3/2019;Electronic;Medical/Healthcare;858;artesiageneral.com;#https://artesiageneral.com/notice-of-privacy-incident/#
Wheatland Dental Care;IL;10/24/2019;Electronic;Medical/Healthcare;955;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Tots & Teens Pediatrics;TX;10/24/2019;Electronic;Medical/Healthcare;31,787;tots-teenspediatrics.com;#https://www.tots-teenspediatrics.com/#
Chronic Care Management, Inc. - Matthews-Vu Medical Group;OH;10/17/2019;Electronic;Business;612;10/17/2019;#https://chroniccaremanagement.com/?page_id=653#
United States Medical Supply, LLC;FL;10/18/2019;Electronic;Medical/Healthcare;674;usmed.com;#https://www.usmed.com/information-breach/#
Self Regional Healthcare (reported on 10/21/2019);SC;10/21/2019;Electronic;Medical/Healthcare;2,661;selfregional.org;#https://www.selfregional.org/patient-notice/#
Cornerstone Benefits, Inc.;PA;10/21/2019;Electronic;Business;2,991;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-41.pdf#
Title Boxing, LLC;KS;10/31/2019;Electronic;Business;10,762;oag.ca.gov;#https://oag.ca.gov/system/files/8439950.PDF#
Central Valley Regional Center;CA;10/24/2019;Electronic;Business;15,975;cvrc.org;-
Gazelle Transportation, LLC;CA;10/29/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Data%20Breach%20Notification%20Letter.pdf#
The Guidance Center - Long Beach;CA;10/25/2019;Electronic;Business;1,189;oag.ca.gov;#https://www.tgclb.org/security-notification/#
Marriott International, Inc. - Marriott associates (reported on 10/30/2019);MD;10/30/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/CA%20Notice.pdf#
Youth For Christ USA, Inc.;CO;10/21/2019;Electronic;Business;873;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-43.pdf#
Buckhead Smile Center, P.C.;GA;10/17/2019;Electronic;Medical/Healthcare;1,655;smilecenterteam.com;#https://www.smilecenterteam.com/information-security-incident.php#
Virginia Department of Behavioral Health & Developmental Services;VA;10/25/2019;Electronic;Medical/Healthcare;1,442;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Sheltered Wings Inc. dba Vortex Optics;WI;10/29/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/29/sheltered-wings-notice-of-data-breach-to-consumers/#
Auto Approve, LLC;MN;10/28/2019;Electronic;Banking/Credit/Financial;93,759;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/28/auto-approve-llc-notice-of-data-breach-to-consumers/#
L&M Fleet Supply (reported on 10/23/2019);MN;10/23/2019;Electronic;Business;665;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-13.pdf#
Children's Minnesota;MN;10/25/2019;Electronic;Medical/Healthcare;37,942;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-15.pdf#
Smith's Food & Drug;NV;10/29/2019;Paper Data;Business;57,600;hipaajournal.com;#https://www.hipaajournal.com/improper-disposal-incident-smiths-food-drug-58000-patients/#
Granite State College;NH;10/21/2019;Electronic;Education;209;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/21/granite-state-college-notice-of-data-breach-to-consumers/#
Endicott College;MA;10/24/2019;Electronic;Education;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/24/endicott-college-notice-of-data-breach-to-consumers/#
Hamlin & Burton Liability Management;FL;10/21/2019;Electronic;Business;1,500;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-42.pdf#
Aptevo Therapeutis, Inc.;WA;10/16/2019;Electronic;Business;310;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-11.pdf#
Levy Premium Foodservice Limited Partnership;IL;10/18/2019;Electronic;Business;50;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/18/levy-premium-foodservice-notice-of-data-breach-to-consumers/#
Sioux Falls VA Health Care System SD 10/1/2019 Paper Data Medical/Healthcare 564(reported on 10/1/2019);VA;10/1/2019;Paper Data;Medical/Healthcare;564;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Defense Health Headquarters;VA;10/4/2019;Electronic;Medical/Healthcare;3,500;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Gary Smith and assoc inc dba gary smith agency;MS;10/4/2019;Electronic;Medical/Healthcare;2,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Euphemia R. Brumskine, MD, LLC;MD;10/4/2019;Electronic;Medical/Healthcare;850;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Arkansas Health Group;AR;10/7/2019;Electronic;Medical/Healthcare;903;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Berman McAleer;NY;10/4/2019;Electronic;Banking/Credit/Financial;324;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/04/berman-mcaleer-notice-of-data-breach-to-consumers/#
Mission Health;NC;10/11/2019;Electronic;Medical/Healthcare;4,521;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/11/mission-health-notice-of-data-breach-to-consumers/#
The Crichton Group;TN;10/14/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/14/crichton-group-notice-of-data-breach-to-consumers/#
Princeton Insurance Agency;NJ;10/15/2019;Electronic;Business;3,166;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/15/princeton-insurance-agency-notice-of-data-breach-to-consumers/#
EyeBuyDirect;TX;10/17/2019;Electronic;Business;756,322;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/17/eye-buy-notice-of-data-breach-to-consumers/#
Paragon Marketing Group, LLC;IL;10/2/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/10/02/paragon-marketing-group-notice-of-data-breach-to-consumers/#
Professional Golfers' Association of America;FL;10/4/2019;Electronic;Business;576;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-38.pdf#
South Pacific Financial Corporation;CA;10/11/2019;Electronic;Banking/Credit/Financial;16,166;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-10.pdf#
Art.com;CA;10/11/2019;Electronic;Business;2,078;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-35.pdf#
Nutraceutical Wellness Inc. dba Nutrafol;NY;10/11/2019;Electronic;Business;21,405;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-39.pdf#
